"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
,,,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling",Accelerated Coils,"Moving Target, Firmly Planted","Snapshot Sights, Wellspring, Rampage",Charge Time,PvP
,,,,,,,,,
,,,,,,,,,
Nightfall: The Ordeal,,,,,,,,,
The Palindrome (Adept),Hand Cannon,Adaptive,Void,"Fluted Barrel, Smallbore, Corkscrew Rifling","Appended Mag, Extended Mag","Overflow, Outlaw, Bottomless Grief","One for All, Rampage, Thresh",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Fluted Barrel","Ricochet Rounds, High-Caliber Rounds","Quickdraw, Killing Wind, Overflow",Rangefinder,Range,PvP
,,,,,,,,,
The Palindrome,Hand Cannon,Adaptive,Void,"Fluted Barrel, Smallbore, Corkscrew Rifling","Appended Mag, Extended Mag","Overflow, Outlaw, Bottomless Grief","One for All, Rampage, Thresh",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Fluted Barrel","Ricochet Rounds, High-Caliber Rounds","Quickdraw, Killing Wind, Overflow",Rangefinder,Range,PvP
,,,,,,,,,
Shadow Price (Adept),Auto Rifle,Precision,Arc,"Fluted Barrel, Smallbore, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Overflow, Fourth Time's the Charm, Feeding Frenzy","One for All, Swashbuckler, Dragonfly",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Hammer-Forged Rifling","Accurized Rounds, Tactical Mag, Steady Rounds","Killing Wind, Surplus, Overflow","Swashbuckler, Disruption Break",Stability,PvP
,,,,,,,,,
Shadow Price,Auto Rifle,Precision,Arc,"Fluted Barrel, Smallbore, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Overflow, Fourth Time's the Charm, Feeding Frenzy","One for All, Swashbuckler, Dragonfly",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Hammer-Forged Rifling","Accurized Rounds, Tactical Mag, Steady Rounds","Killing Wind, Surplus, Overflow","Swashbuckler, Disruption Break",Stability,PvP
,,,,,,,,,
THE SWARM (Adept),Machine Gun,High-Impact,Arc,"Smallbore, Fluted Barrel, Polygonal Rifling","Tactical Mag, Appended Mag, Extended Mag","Outlaw, Surplus, Bottomless Grief","One for All, Vorpal Weapon, Dragonfly",Reload,PvE
,,,,"Fluted Barrel, Corkscrew Rifling, Smallbore","Accurized Rounds, Steady Rounds","Killing Wind, Dynamic Sway Reduction, Surplus","Tap the Trigger, Zen Moment",Stability or Range,PvP
,,,,,,,,,
THE SWARM,Machine Gun,High-Impact,Arc,"Smallbore, Fluted Barrel, Polygonal Rifling","Tactical Mag, Appended Mag, Extended Mag","Outlaw, Surplus, Bottomless Grief","One for All, Vorpal Weapon, Dragonfly",Reload,PvE
,,,,"Fluted Barrel, Corkscrew Rifling, Smallbore","Accurized Rounds, Steady Rounds","Killing Wind, Dynamic Sway Reduction, Surplus","Tap the Trigger, Zen Moment",Stability or Range,PvP
,,,,,,,,,
,,,,,,,,,
Ritual Weapon,,,,,,,,,
Salvager's Salvo,Grenade Launcher,Lightweight,Arc,Quick Launch,Spike Grenades,"Ambitious Assassin, Demolitionist","Chain Reaction, Vorpal Weapon",Handling,PvE
,,,,Quick Launch,Spike Grenades,"Demolitionist, Ambitious Assassin","Vorpal Weapon, Chain Reaction",Handling,PvP
,,,,,,,,,
,,,,,,,,,
Season Pass,,,,,,,,,
Brass Attacks,Sidearm,Aggressive Burst,Void,"Fluted Barrel, Smallbore, Polygonal Rifling","Appended Mag, Extended Mag","Rapid Hit, Feeding Frenzy, Threat Detector","One for All, Rampage, Dragonfly, Frenzy",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Chambered Compensator","Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Killing Wind, Feeding Frenzy","Wellspring, Rampage",Stability,PvP
,,,,,,,,,
Threaded Needle,Linear Fusion Rifle,Precision,Void,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Liquid Coils, Ionized Battery, Enhanced Battery","Rapid Hit, Clown Cartridge, Auto-Loading Holster","Demolitionist, Dragonfly, Vorpal Weapon",Reload,PvE
,,,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Projection Fuse","Rangefinder, Killing Wind","Demolitionist, Dragonfly",Charge Time,PvP
,,,,,,,,,
,,,,,,,,,
Battleground,,,,,,,,,
Extraordinary Rendition,Submachine Gun,Aggressive,Kinetic,"Fluted Barrel, Corkscrew Rifling, Smallbore","Appended Mag, Tactical Mag, Extended Mag","Overflow, Outlaw, Surplus","One for All, Multikill Clip, Rampage",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Corkscrew Rifling","Accurized Rounds, Steady Rounds","Zen Moment, Surplus, Overflow","Tap the Trigger, Multikill Clip",Stability,PvP
,,,,,,,,,
Far Future,Sniper Rifle,Adaptive,Solar,"Fluted Barrel, Arrowhead Brake, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Surplus, Lead from Gold","Wellspring, Demolitionist",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Quickdraw, Moving Target",Opening Shot,Range,PvP
,,,,,,,,,
Imperial Needle,Combat Bow,Lightweight,Void,"Elastic String, Flexible String, Agile Bowstring","Fiberglass Arrow Shaft, Straight Fletching, Compact Arrow Shaft","Archer's Tempo, Impulse Amplifier, Killing Wind","Swashbuckler, Wellspring, Thresh",Draw Time,PvE
,,,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Killing Wind","Opening Shot, Swashbuckler",Draw Time,PvP
,,,,,,,,,
Code Duello,Rocket Launcher,High-Impact,Solar,"Quick Launch, Smart Drift Control, Linear Compensator","Impact Casing, Alloy Casing","Impulse Amplifier, Auto-Loading Holster, Field Prep","Lasting Impression, Chain Reaction, Cluster Bomb",Reload,PvE
,,,,"Volatile Launch, Hard Launch, Quick Launch",Impact Casing,Quickdraw,"Chain Reaction, Cluster Bomb",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Factions,,,,,,,,,
Bottom Dollar,Hand Cannon,Aggressive ,Void,"Fluted Barrel, Smallbore, Polygonal Rifling","Tactical Mag, Appended Mag, Extended Mag","Rapid Hit, Outlaw, Fourth Time's the Charm","Multikill CLip, Rampage, Wellspring",Reload,PvE
,,,,"Fluted Barrel, Smallbore, Polygonal Rifling","Accurized Rounds, Steady Rounds","Rapid Hit, Rangefinder, Killing Wind","Explosive Payload, Opening Shot, Eye of the Storm",Range,PvP
,,,,,,,,,
Trinary System,Fusion Rifle,Adaptive,Solar,"Fluted Barrel, Corkscrew Rifling, Arrowhead Brake","Liquid Coils, Enhanced Battery","Feeding Frenzy, Surplus, Auto-Loading Holster","Swashbuckler, High-Impact Reserves, Wellspring",Reload,PvE
,,,,"Fluted Barrel, Arrowhead Brake, Smallbore","Liquid Coils, Particle Repeater","Under Pressure, Quickdraw, Killing Wind","Tap the Trigger, High-Impact Reserves, Disruption Break",Range,PvP
,,,,,,,,,
Frozen Orbit,Sniper Rifle,Aggressive,Void,"Fluted Barrel, Arrowhead Brake, Smallbore","Appended Mag, Extended Mag, Tactical Mag","Triple Tap, Clown Cartridge, Outlaw","Vorpal Weapon, High-Impact Reserves, Wellspring",Reload,PvE
,,,,"Hammer-Forged Rifling, Fluted Barrel, Smallbore","Accurized Rounds, Tactical Mag","Moving Target, Killing Wind, Firmly Planted","Quickdraw, Snapshot Sights, Opening Shot",Range,PvP
,,,,,,,,,
The Keening,Sidarm,Adaptive,Arc,"Fluted Barrel, Corkscrew Rifling, Hammer-Forged Rifling","Appended Mag, Extended Mag","Rapid Hit, Surplus","One for All, Multikill Clip, Thresh",Reload,PvE
,,,,"Smallbore, Polygonal Rifling, Hammer-Forged Rifling","Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Moving Target, Killing Wind","Zen Moment, Snapshot Sights, Multikill Clip",Range,PvP
,,,,,,,,,
The Third Axiom,Pulse Rifle,Adaptive,Arc,"Arrowhead Brake, Smallbore, Polygonal Rifling","Appended Mag, Extended Mag","Feeding Frenzy, Killing Wind, Surplus","One for All, Multikill Clip, Rampage",Reload,PvE
,,,,"Arrowhead Brake, Chambered Compensator, Smallbore","Ricochet Rounds, High-Caliber Rounds","Quickdraw, Moving Target, Zen Moment","Multikill Clip, Rampage",Range or Stability,PvP
,,,,,,,,,
Royal Entry,Rocket Launcher,Precision,Void,"Quick Launch, Smart Drift Control, Linear Compensator","Impact Casing, Alloy Casing","Impulse Amplifier, Auto-Loading Holster, Field Prep","Lasting Impression, Clown Cartridge, Chain Reaction",Reload,PvE
,,,,"Volatile Launch, Hard Launch, Quick Launch",Impact Casing,Quickdraw,"Chain Reaction, Wellspring, Cluster Bomb",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Iron Banner,,,,,,,,,
Multimach CCX,Submachine Gun,Lighweight,Kinetic,"IS 5 Circle, IS 2 Classic, Model 6 Loop","Appended Mag, Tactical Mag, Extended Mag","Subsistence, Threat Detector, Killing Wind","One for All, Kill Clip",Reload,PvE
,,,,"Model 6 Loop, Model 8 Red","Accurized Rounds, Steady Rounds, Tactical Mag","Quickdraw, Dynamic Sway Reduction, Killing Wind","Kill Clip, Iron Grip",Stability,PvP
,,,,,,,,,
The Time-Worn Spire,Pulse Rifle,Rapid-Fire,Kinetic,"Hitmark IS, Cleanshot IS, Red Dot Micro","Appended Mag, Extended Mag","Feeding Frenzy, Subsistence","One for All, Rampage",Reload,PvE
,,,,"Red Dot Micro, Red Dot 2 MOA","Ricochet Rounds, High-Caliber Rounds","Quickdraw, Moving Target",Iron Grip,Range,PvP
,,,,,,,,,
,,,,,,,,,
Trials of Osiris,,,,,,,,,
The Messenger (Adept),Pulse Rifle,High-Impact,Kinetic,"Fluted Barrel, Corkscrew Rifling, Smallbore","Appended Mag, Extended Mag","Rapid Hit, Outlaw, Killing Wind","Desperado, One for All, Kill Clip",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling, Chambered Compensator","Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Killing Wind, Moving Target","Desperado, Headseeker, Kill Clip",Stability,PvP
,,,,,,,,,
The Messenger,Pulse Rifle,High-Impact,Kinetic,"Fluted Barrel, Corkscrew Rifling, Smallbore","Appended Mag, Extended Mag","Rapid Hit, Outlaw, Killing Wind","Desperado, One for All, Kill Clip",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling, Chambered Compensator","Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Killing Wind, Moving Target","Desperado, Headseeker, Kill Clip",Stability,PvP
,,,,,,,,,
Igneous Hammer (Adept),Hand Cannon,Aggressive,Solar,"Fluted Barrel, Corkscrew Rifling, Smallbore","Appended Mag, Extended Mag","Rapid Hit, Outlaw, Subsistence","One for All, Rampage",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling, Fluted Barrel","Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Quickdraw, Killing Wind","Moving Target, Snapshot Sights",Stability,PvP
,,,,,,,,,
Igneous Hammer,Hand Cannon,Aggressive,Solar,"Fluted Barrel, Corkscrew Rifling, Smallbore","Appended Mag, Extended Mag","Rapid Hit, Outlaw, Subsistence","One for All, Rampage",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling, Fluted Barrel","Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Quickdraw, Killing Wind","Moving Target, Snapshot Sights",Stability,PvP
,,,,,,,,,
Sola's Scar (Adept),Sword,Caster,Solar,"Jagged Edge, Honed Edge, Tempered Edge","Swordmaster's Guard, Balanced Guard, Burst Guard","Relentless Strikes, Tireless Blade","Vorpal Weapon, Chain Reaction",Impact,PvE
,,,,"Jagged Edge, Honed Edge, Tempered Edge","Swordmaster's Guard, Balanced Guard, Burst Guard",Tireless Blade,"Assassin's Blade, En Garde",Impact,PvP
,,,,,,,,,
Sola's Scar,Sword,Caster,Solar,"Jagged Edge, Honed Edge, Tempered Edge","Swordmaster's Guard, Balanced Guard, Burst Guard","Relentless Strikes, Tireless Blade","Vorpal Weapon, Chain Reaction",Impact,PvE
,,,,"Jagged Edge, Honed Edge, Tempered Edge","Swordmaster's Guard, Balanced Guard, Burst Guard",Tireless Blade,"Assassin's Blade, En Garde",Impact,PvP
,,,,,,,,,
,,,,,,,,,
Trials of Osiris - Reissued,,,,,,,,,
Astral Horizon,Shotgun,Aggressive,Kinetic,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Auto-Loading Holster, Lead from Gold, Surplus","Trench Barrel, Demolitionist",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds",Surplus,"Opening Shot, Celerity, Killing Wind",Handling,PvP
,,,,,,,,,
Astral Horizon (Adept),Shotgun,Aggressive,Kinetic,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Auto-Loading Holster, Lead from Gold, Surplus","Trench Barrel, Demolitionist",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds",Surplus,"Opening Shot, Celerity, Killing Wind",Handling,PvP
,,,,,,,,,
Eye of Sol,Sniper Rifle,Adaptive,Kinetic,"Fluted Barrel, Corkscrew Rifling, Arrowhead Brake","Appended Mag, Tactical Mag, Extended Mag","Field Prep, Outlaw","Vorpal Weapon, Box Breathing",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Snapshot Sights, Field Prep","Opening Shot, Celerity, Vorpal Weapon",Handling,PvP
,,,,,,,,,
Eye of Sol (Adept),Sniper Rifle,Adaptive,Kinetic,"Fluted Barrel, Corkscrew Rifling, Arrowhead Brake","Appended Mag, Tactical Mag, Extended Mag","Field Prep, Outlaw","Vorpal Weapon, Box Breathing",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Snapshot Sights, Field Prep","Opening Shot, Celerity, Vorpal Weapon",Handling,PvP
,,,,,,,,,
The Scholar,Scout Rifle,High-Impact,Kinetic,"Fluted Barrel, Smallbore, Corkscrew Rifling","Appended Mag, Extended Mag","Full Auto Trigger System, Quickdraw","Vorpal Weapon, Snapshot Sights",Reload,PvE
,,,,"Polygonal Rifling, Smallbore, Hammer-Forged Rifling","Ricochet Rounds, High-Caliber Rounds","Quickdraw, Opening Shot","Celerity, Snapshot Sights",Stability,PvP
,,,,,,,,,
The Scholar (Adept),Scout Rifle,High-Impact,Kinetic,"Fluted Barrel, Smallbore, Corkscrew Rifling","Appended Mag, Extended Mag","Full Auto Trigger System, Quickdraw","Vorpal Weapon, Snapshot Sights",Reload,PvE
,,,,"Polygonal Rifling, Smallbore, Hammer-Forged Rifling","Ricochet Rounds, High-Caliber Rounds","Quickdraw, Opening Shot","Celerity, Snapshot Sights",Stability,PvP
,,,,,,,,,
Exile's Curse,Fusion Rifle,High-Impact,Arc,"Fluted Barrel, Smallbore","Liquid Coils, Enhanced Battery, Ionized Battery","Quickdraw, Killing Wind","Vorpal Weapon, High-Impact Reserves",Reload,PvE
,,,,"Arrowhead Brake, Chambered Compensator, Smallbore","Particle Repeater, Projection Fuse, Liquid Coils","Quickdraw, Killing Wind, Slideshot","High-Impact Reserves, Vorpal Weapon, Kickstart",Range,PvP
,,,,,,,,,
Exile's Curse (Adept),Fusion Rifle,High-Impact,Arc,"Fluted Barrel, Smallbore","Liquid Coils, Enhanced Battery, Ionized Battery","Quickdraw, Killing Wind","Vorpal Weapon, High-Impact Reserves",Reload,PvE
,,,,"Arrowhead Brake, Chambered Compensator, Smallbore","Particle Repeater, Projection Fuse, Liquid Coils","Quickdraw, Killing Wind, Slideshot","High-Impact Reserves, Vorpal Weapon, Kickstart",Range,PvP
,,,,,,,,,
The Summoner,Auto Rifle,Adaptive,Solar,"Fluted Barrel, Arrowhead Brake, Smallbore","Appended Mag, Extended Mag","Overflow, Dynamic Sway Reduction","Rampage, Dragonfly",Reload,PvE
,,,,"Arrowhead Brake, Smallbore, Polygonal Rifling","High-Caliber Rounds, Ricochet Rounds","Overflow, Moving Target, Dynamic Sway Reduction, Zen Moment","Rangefinder, Celerity",Stability,PvP
,,,,,,,,,
The Summoner (Adept),Auto Rifle,Adaptive,Solar,"Fluted Barrel, Arrowhead Brake, Smallbore","Appended Mag, Extended Mag","Overflow, Dynamic Sway Reduction","Rampage, Dragonfly",Reload,PvE
,,,,"Arrowhead Brake, Smallbore, Polygonal Rifling","High-Caliber Rounds, Ricochet Rounds","Overflow, Moving Target, Dynamic Sway Reduction, Zen Moment","Rangefinder, Celerity",Stability,PvP
,,,,,,,,,
Tomorrow's Answer,Rocklet Launcher,High-Impact,Void,"Quick Launch, Countermass, Smart Drift Control","Impact Casing, Alloy Casing","Impulse Amplifier, Auto-Loading Holster","Lasting Impression, Chain Reaction, Cluster Bomb",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Impact Casing,Impulse Amplifier,Cluster Bomb,Blast Radius,PvP
,,,,,,,,,
Tomorrow's Answer (Adept),Rocklet Launcher,High-Impact,Void,"Quick Launch, Countermass, Smart Drift Control","Impact Casing, Alloy Casing","Impulse Amplifier, Auto-Loading Holster","Lasting Impression, Chain Reaction, Cluster Bomb",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Impact Casing,Impulse Amplifier,Cluster Bomb,Blast Radius,PvP
